,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,ciudad bolivar,8.1222,-63.5497,300.29,66,87,3.44,VE,1619663239
291,santa fe,-31.6333,-60.7,289.82,76,0,0.45,AR,1619663316
292,doha,25.2867,51.5333,304.15,35,75,3.6,QA,1619663316
293,abancay,-13.6339,-72.8814,285.59,91,65,1.33,PE,1619663317
294,leh,34.1667,77.5833,276.2,45,34,0.37,IN,1619663317
295,poum,-20.2333,164.0167,297.22,51,0,1.08,NC,1619663317
296,tilichiki,60.4667,166.1,273.17,98,100,1.93,RU,1619663318
297,caravelas,-17.7125,-39.2481,296.58,84,61,2.31,BR,1619663318
298,shirokiy,49.758,129.523,283.92,26,0,3.06,RU,1619663319
299,berezovka,53.7214,25.4993,275.26,80,100,2.93,BY,1619663319
300,ati,13.2154,18.3353,300.12,10,68,3.47,TD,1619663320
301,narrabri,-30.3167,149.7833,297.59,43,5,0.51,AU,1619663320
302,sumenep,-7.0167,113.8667,302.08,67,11,3.92,ID,1619663321
303,gat,31.61,34.7642,290.93,46,0,1.41,IL,1619663321
304,aksu,41.1231,80.2644,294.22,14,0,2.07,CN,1619663321
305,atasu,48.6814,71.6433,291.46,44,100,3.32,KZ,1619663322
306,houma,29.5958,-90.7195,297.59,83,1,3.6,US,1619663322
307,asau,46.4333,26.4,278.15,62,81,1.32,RO,1619663323
308,saurimo,-9.6608,20.3916,291.23,94,47,1.34,AO,1619663323
309,vila velha,-20.3297,-40.2925,296.15,83,75,1.54,BR,1619663323
310,hasaki,35.7333,140.8333,291.15,94,75,5.14,JP,1619663324
311,coihaique,-45.5752,-72.0662,280.7,95,100,2.07,CL,1619663324
312,samarkand,39.6542,66.9597,295.15,37,0,5.14,UZ,1619663324
313,kamaishi,39.2667,141.8833,287.15,94,75,1.54,JP,1619663325
314,severo-yeniseyskiy,60.3725,93.0408,275.9,87,100,1.47,RU,1619663325
315,te anau,-45.4167,167.7167,284.78,92,100,2.27,NZ,1619663326
316,faanui,-16.4833,-151.75,300.89,72,82,4.91,PF,1619663326
317,kovur,14.4833,79.9833,302.67,67,33,5.79,IN,1619663327
318,paris,48.8534,2.3488,281.48,81,62,2.57,FR,1619663649
319,akdepe,42.0551,59.3788,292.15,55,75,7.2,TM,1619663327
320,nanortalik,60.1432,-45.2371,274.9,94,59,2.26,GL,1619663328
321,batagay-alyta,67.8006,130.4114,268.32,71,4,1.02,RU,1619663328
322,vaitape,-16.5167,-151.75,300.89,72,81,4.9,PF,1619663328
323,daund,18.4667,74.6,302.53,36,13,4.05,IN,1619663329
324,yanam,16.7333,82.2167,302.15,70,75,2.06,IN,1619663329
325,ranong,9.9658,98.6348,303.15,79,20,1.03,TH,1619663329
326,salinopolis,-0.6136,-47.3561,299.01,83,100,2.98,BR,1619663330
327,aklavik,68.2191,-135.0107,277.15,52,24,4.12,CA,1619663330
328,colares,38.7992,-9.4469,287.04,72,100,7.01,PT,1619663331
329,bridgetown,13.1,-59.6167,299.15,69,75,7.2,BB,1619663280
330,ayagoz,47.9714,80.4392,292.93,31,9,3.13,KZ,1619663331
331,walvis bay,-22.9575,14.5053,288.71,94,1,4.12,NA,1619663331
332,shalinskoye,55.7228,93.7594,277.26,94,100,7.78,RU,1619663332
333,shumyachi,53.8583,32.4242,274.27,89,64,2.06,RU,1619663332
334,malindi,-3.2175,40.1191,298.38,88,16,4.01,KE,1619663333
335,ugoofaaru,5.6667,73.0,301.65,74,14,3.77,MV,1619663333
336,sembe,1.6481,14.5806,295.13,99,100,0.86,CG,1619663333
337,port lincoln,-34.7333,135.8667,294.62,38,11,1.05,AU,1619663334
338,vestmanna,62.1564,-7.1664,276.15,81,75,1.54,FO,1619663335
339,pisco,-13.7,-76.2167,291.15,88,75,1.03,PE,1619663300
340,cooma,-36.2333,149.1333,289.15,55,38,1.54,AU,1619663335
341,niono,14.2526,-5.993,306.23,30,48,4.68,ML,1619663336
342,neiafu,-18.65,-173.9833,301.15,89,40,5.14,TO,1619663336
343,pevek,69.7008,170.3133,268.06,78,100,2.85,RU,1619663337
344,bangkalan,-7.0455,112.7351,302.15,79,20,2.06,ID,1619663337
345,adrar,20.5022,-10.0711,300.93,25,7,5.08,MR,1619663337
346,manokwari,-0.8667,134.0833,301.58,70,23,1.88,ID,1619663338
347,marienburg,54.0359,19.0266,278.15,71,99,2.87,PL,1619663338
348,ust-kuyga,70.0167,135.6,268.8,87,67,3.11,RU,1619663339
349,veselynove,47.3567,31.2349,280.53,70,100,3.36,UA,1619663339
350,butembo,0.15,29.2833,288.61,88,100,1.07,CD,1619663339
351,motema,8.6,-11.0333,295.37,89,100,0.73,SL,1619663340
352,xiangxiang,27.7333,112.5333,294.7,67,88,3.06,CN,1619663302
353,lavrentiya,65.5833,-171.0,270.85,74,8,2.97,RU,1619663157
354,cabo san lucas,22.8909,-109.9124,294.82,60,40,4.12,MX,1619663340
355,abbeville,50.1,1.8333,279.82,82,41,3.12,FR,1619663341
356,salym,60.0625,71.4789,279.59,80,40,2.81,RU,1619663341
357,rongcheng,30.634,117.8517,296.67,48,37,5.39,CN,1619663342
358,krivosheino,57.3431,83.9261,279.82,84,99,4.09,RU,1619663342
359,puerto santander,8.3636,-72.4063,298.15,100,40,1.03,CO,1619663342
360,rocha,-34.4833,-54.3333,285.17,89,0,1.64,UY,1619663343
361,sorrento,40.626,14.3744,287.59,51,2,1.34,IT,1619663343
362,mareeba,-17.0,145.4333,297.59,79,66,1.34,AU,1619663343
363,dindori,22.95,81.0833,305.37,8,0,0.42,IN,1619663344
364,vikhorevka,56.1201,101.1636,277.15,33,100,5.0,RU,1619663344
365,kilindoni,-7.9139,39.6668,299.7,83,24,5.9,TZ,1619663344
366,flinders,-34.5833,150.8552,296.48,64,28,1.34,AU,1619663345
367,aktau,43.65,51.2,287.15,58,40,5.0,KZ,1619663345
368,tungor,53.3808,142.9564,274.27,75,29,5.31,RU,1619663346
